lon,lat,elv,elv
-78.542,-0.562,3.53775,3537.75
-78.542,-0.564,3.58551,3585.51
-78.542,-0.567,3.63996,3639.96
-78.542,-0.57,3.61035,3610.35
-78.542,-0.573,3.57486,3574.86
-78.542,-0.575,3.487,3487
-78.542,-0.578,3.52767,3527.67
-78.542,-0.581,3.61,3610
-78.542,-0.584,3.62335,3623.35
-78.542,-0.586,3.65317,3653.17
-78.542,-0.589,3.73587,3735.87
-78.542,-0.592,3.83119,3831.19
-78.542,-0.595,3.86661,3866.61
-78.542,-0.597,3.83361,3833.61
-78.542,-0.6,3.87879,3878.79
-78.542,-0.603,3.93545,3935.45
-78.542,-0.605,3.92665,3926.65
-78.542,-0.608,3.92418,3924.18
-78.542,-0.611,3.90273,3902.73
-78.542,-0.614,3.88379,3883.79
-78.542,-0.616,3.86164,3861.64
-78.542,-0.619,3.85411,3854.11
-78.542,-0.622,3.81782,3817.82
-78.542,-0.625,3.75296,3752.96
-78.542,-0.627,3.68755,3687.55
-78.542,-0.63,3.6444,3644.4
-78.542,-0.633,3.59712,3597.12
-78.542,-0.636,3.54367,3543.67
-78.542,-0.638,3.50838,3508.38
-78.542,-0.641,3.47833,3478.33
-78.542,-0.644,3.45205,3452.05
-78.542,-0.647,3.42427,3424.27
-78.542,-0.649,3.39141,3391.41
-78.542,-0.652,3.40424,3404.24
-78.542,-0.655,3.41921,3419.21
-78.542,-0.658,3.41871,3418.71
-78.542,-0.66,3.41252,3412.52
-78.542,-0.663,3.40408,3404.08
-78.542,-0.666,3.39438,3394.38
-78.542,-0.669,3.38792,3387.92
-78.542,-0.671,3.40008,3400.08
-78.542,-0.674,3.38847,3388.47
-78.542,-0.677,3.36885,3368.85
-78.542,-0.68,3.35177,3351.77
-78.542,-0.682,3.34266,3342.66
-78.542,-0.685,3.35066,3350.66
-78.542,-0.688,3.35666,3356.66
-78.542,-0.691,3.35023,3350.23
-78.542,-0.693,3.34083,3340.83
-78.542,-0.696,3.33063,3330.63
-78.542,-0.699,3.32444,3324.44
-78.542,-0.702,3.31576,3315.76
-78.542,-0.704,3.31383,3313.83
-78.542,-0.707,3.30032,3300.32
-78.542,-0.71,3.28591,3285.91
-78.542,-0.713,3.27945,3279.45
-78.542,-0.715,3.27832,3278.32
-78.542,-0.718,3.27547,3275.47
-78.542,-0.721,3.25443,3254.43
-78.542,-0.724,3.2163,3216.3
-78.542,-0.726,3.20629,3206.29
-78.542,-0.729,3.1882,3188.2
-78.542,-0.732,3.19639,3196.39
-78.542,-0.735,3.18683,3186.83
-78.542,-0.737,3.18219,3182.19
-78.542,-0.74,3.18215,3182.15
-78.542,-0.743,3.17765,3177.65
-78.542,-0.746,3.1857,3185.7
-78.542,-0.748,3.18962,3189.62
-78.542,-0.751,3.19148,3191.48
-78.542,-0.754,3.17685,3176.85
-78.542,-0.757,3.20031,3200.31
-78.542,-0.759,3.21078,3210.78
-78.542,-0.762,3.24147,3241.47
-78.542,-0.765,3.25244,3252.44
-78.542,-0.768,3.20273,3202.73
-78.542,-0.77,3.17421,3174.21
-78.542,-0.773,3.18509,3185.09
-78.542,-0.776,3.23685,3236.85
-78.542,-0.779,3.21797,3217.97
-78.542,-0.781,3.24402,3244.02
-78.542,-0.784,3.20494,3204.94
-78.542,-0.787,3.24373,3243.73
-78.542,-0.79,3.23606,3236.06
